Iteration,BestFit,MJPE,PCK,Time_s
1,0.0928351879119873,0.0427252613008022,100,0.1611494
2,10638.12890625,14.9505748748779,3.2258064516129,0.1379358
3,14498.6435546875,17.5527286529541,3.2258064516129,0.1155004
4,13560.0078125,18.1500720977783,3.2258064516129,0.0962011
5,15106.708984375,17.525032043457,3.2258064516129,0.0986113
6,15207.1064453125,19.2346591949463,3.2258064516129,0.0894356
7,18744.390625,20.6490039825439,3.2258064516129,0.091898
8,17374.130859375,18.2961254119873,3.2258064516129,0.0876835
9,22000.435546875,23.171537399292,3.2258064516129,0.0872675
10,19913.29296875,21.9380073547363,3.2258064516129,0.0848858
11,18956.439453125,21.6446475982666,3.2258064516129,0.1010877
12,19983.08203125,21.785135269165,3.2258064516129,0.088418
13,17262.712890625,20.1498374938965,3.2258064516129,0.1018863
14,15981.5361328125,19.8927536010742,3.2258064516129,0.0893636
15,14487.626953125,19.3182964324951,3.2258064516129,0.0880427
16,14595.69921875,19.2302894592285,3.2258064516129,0.0879074
17,14993.8408203125,19.0928325653076,3.2258064516129,0.0842603
18,13015.109375,17.6875038146973,3.2258064516129,0.0837777
19,14682.697265625,19.6463031768799,3.2258064516129,0.0894395
20,14424.1904296875,19.5717029571533,3.2258064516129,0.0841863
21,16461.15234375,19.4436416625977,3.2258064516129,0.0939855
22,14086.8388671875,18.5455474853516,3.2258064516129,0.0866479
23,12678.9765625,17.4221878051758,3.2258064516129,0.0902251
24,12231.8486328125,17.1611766815186,3.2258064516129,0.0895964
25,11757.390625,17.0511302947998,3.2258064516129,0.085432
26,11113.7421875,16.7972240447998,3.2258064516129,0.0892513
27,10032.4892578125,16.5921192169189,3.2258064516129,0.087049
28,9833.7548828125,15.6158313751221,3.2258064516129,0.085023
29,9034.96484375,15.4251403808594,3.2258064516129,0.0885205
30,8427.626953125,14.6847858428955,3.2258064516129,0.0887516
31,8371.2431640625,14.8293466567993,3.2258064516129,0.0904812
32,7832.61474609375,14.8824253082275,3.2258064516129,0.0864831
33,8043.06298828125,14.7300806045532,3.2258064516129,0.0889647
34,6799.27685546875,13.5172672271729,3.2258064516129,0.0842727
35,7088.38916015625,13.6046237945557,3.2258064516129,0.0881854
36,6988.17138671875,13.8843545913696,3.2258064516129,0.0888483
37,6698.71875,12.8775453567505,3.2258064516129,0.0873084
38,7069.67236328125,13.5135116577148,3.2258064516129,0.0872552
39,6435.89208984375,12.659818649292,3.2258064516129,0.0878684
40,5944.8974609375,12.3477258682251,3.2258064516129,0.0861278
41,5194.18115234375,11.6578426361084,3.2258064516129,0.0917619
42,6068.97216796875,12.5462522506714,3.2258064516129,0.0832605
43,6105.5947265625,12.567590713501,3.2258064516129,0.0845362
44,4972.77880859375,11.3466138839722,3.2258064516129,0.0841069
45,3716.02734375,9.71625423431396,3.2258064516129,0.0870614
46,4805.60888671875,11.1966714859009,3.2258064516129,0.0824775
47,4229.0244140625,10.2087678909302,3.2258064516129,0.0936428
48,4833.7861328125,10.8867073059082,3.2258064516129,0.0887209
49,4752.21826171875,11.1116437911987,3.2258064516129,0.0906542
50,4308.0205078125,10.9522018432617,3.2258064516129,0.0857013
51,4957.8056640625,11.4329805374146,3.2258064516129,0.0902046
52,4567.6259765625,10.9781808853149,3.2258064516129,0.0853158
53,4170.4482421875,10.2947187423706,3.2258064516129,0.0837754
54,3837.00537109375,10.3457078933716,3.2258064516129,0.08511
55,3916.01806640625,10.2619762420654,3.2258064516129,0.0846034
56,3807.3203125,9.96004676818848,3.2258064516129,0.085654
57,3431.24462890625,9.82727146148682,3.2258064516129,0.0866456
58,3278.30859375,9.30580043792725,3.2258064516129,0.084273
59,3316.54833984375,9.25287437438965,3.2258064516129,0.0894445
60,3314.76171875,9.3094367980957,3.2258064516129,0.0846546
61,3076.53588867188,9.00495529174805,3.2258064516129,0.0877998
62,3116.17846679688,9.21760177612305,3.2258064516129,0.0918456
63,2676.19873046875,8.64747333526611,3.2258064516129,0.0918266
64,2775.77563476562,8.66197109222412,3.2258064516129,0.0821808
65,2664.326171875,8.56654834747314,3.2258064516129,0.0884406
66,2760.25634765625,8.62725734710693,3.2258064516129,0.0877028
67,2645.94189453125,8.20703220367432,3.2258064516129,0.0867387
68,2379.35107421875,8.08774280548096,3.2258064516129,0.0850742
69,2476.13208007812,8.15762519836426,3.2258064516129,0.0828433
70,2231.86181640625,7.57588863372803,3.2258064516129,0.0879328
71,2219.26977539062,7.81343126296997,3.2258064516129,0.0909031
72,2165.16357421875,7.49978256225586,3.2258064516129,0.0882584
73,1866.34655761719,7.1243839263916,3.2258064516129,0.0854713
74,1898.77783203125,6.92704486846924,3.2258064516129,0.086904
75,1924.38037109375,7.0044116973877,3.2258064516129,0.0849158
76,1820.19921875,7.08919143676758,3.2258064516129,0.085157
77,1726.58764648438,6.74375486373901,3.2258064516129,0.0836768
78,1800.79614257812,6.85851383209229,3.2258064516129,0.0831184
79,1659.173828125,6.41078090667725,3.2258064516129,0.0855927
80,1593.47265625,6.26516628265381,3.2258064516129,0.0861211
81,1487.51904296875,6.24656009674072,3.2258064516129,0.0926302
82,1521.46154785156,6.26221704483032,3.2258064516129,0.0880727
83,1504.28369140625,6.0624680519104,3.2258064516129,0.0886218
84,1469.37805175781,6.1193733215332,3.2258064516129,0.0915006
85,1396.54931640625,5.87703037261963,3.2258064516129,0.0848657
86,1340.82495117188,5.64985942840576,3.2258064516129,0.0835585
87,1303.91003417969,5.58466148376465,3.2258064516129,0.0851545
88,1262.96508789062,5.44959306716919,3.2258064516129,0.0835641
89,1261.74975585938,5.42540884017944,3.2258064516129,0.0838092
90,1201.61584472656,5.32846641540527,3.2258064516129,0.0827945
91,1187.58666992188,5.2695574760437,3.2258064516129,0.0879882
92,1163.15563964844,5.16819429397583,3.2258064516129,0.0839104
93,1144.52331542969,5.11146354675293,3.2258064516129,0.0855225
94,1116.40173339844,4.94463157653809,3.2258064516129,0.0848517
95,1101.79626464844,4.88172197341919,3.2258064516129,0.0863782
96,1092.82043457031,4.92007446289062,3.2258064516129,0.0933012
97,1074.76782226562,4.82922697067261,3.2258064516129,0.0862171
98,1063.99572753906,4.72669458389282,3.2258064516129,0.0863424
99,1056.62866210938,4.68030881881714,3.2258064516129,0.0858761
100,1052.59057617188,4.64993381500244,3.2258064516129,0.0835702
